gene,metric,imaging,r_res,p_res,n,n_carriers_img,CGC,in_pathway,fdr_full,fdr_per_gene,fdr_per_gene_metric,fdr_best_per_gene,cohort
PBRM1,n_mutations,tumor_kidney_ratio,0.0183103343194631,0.8171071986350703,162,64,True,False,0.9336042569726968,0.8171071986350703,0.8171071986350703,,KIRC
NUP205,min_dll,tumor_kidney_ratio,0.0181885557963711,0.8183024625190983,162,5,False,False,0.9336042569726968,0.8486099611309167,0.8183024625190983,,KIRC
NUP205,max_abs_dll,tumor_kidney_ratio,-0.0181885557963711,0.8183024625190983,162,5,False,False,0.9336042569726968,0.8486099611309167,0.8183024625190983,,KIRC
NUP205,sum_abs_dll,tumor_kidney_ratio,-0.0181885557963711,0.8183024625190983,162,5,False,False,0.9336042569726968,0.8486099611309167,0.8183024625190983,,KIRC
NUP205,mean_abs_dll,tumor_kidney_ratio,-0.0181885557963711,0.8183024625190983,162,5,False,False,0.9336042569726968,0.8486099611309167,0.8183024625190983,,KIRC
NUP205,top1_signed,tumor_kidney_ratio,0.0181885557963711,0.8183024625190983,162,5,False,False,0.9336042569726968,0.8486099611309167,0.8183024625190983,,KIRC
NUP205,max_dll,tumor_kidney_ratio,0.0181885557963711,0.8183024625190983,162,5,False,False,0.9336042569726968,0.8486099611309167,0.8183024625190983,,KIRC
CHD4,n_mutations,tumor_kidney_ratio,-0.0181673560413105,0.8185105822967064,162,5,True,False,0.9336042569726968,0.8185105822967064,0.8185105822967064,,KIRC
PLXNA4,n_mutations,tumor_kidney_ratio,0.0181543440139476,0.8186383287385821,162,5,False,False,0.9336042569726968,0.8186383287385821,0.8186383287385821,,KIRC
LRP1B,mean_abs_dll,tumor_kidney_ratio,0.0180361913726611,0.8197985180176246,162,6,True,False,0.9336042569726968,0.8251817366502934,0.8197985180176246,,KIRC
SPEN,n_mutations,kits_tumor_heterogeneity,-0.0179789779782108,0.820360460418198,162,5,True,False,0.9336042569726968,0.8468237010768496,0.820360460418198,,KIRC
PTEN,n_mutations,tumor_kidney_ratio,0.0179536080058404,0.8206096701908315,162,7,True,False,0.9336042569726968,0.8206096701908315,0.8206096701908315,,KIRC
BAP1,n_mutations,kits_tumor_heterogeneity,-0.0179533165224652,0.8206125335424583,162,18,True,False,0.9336042569726968,0.932700296387254,0.8206125335424583,,KIRC
LRP1B,max_dll,tumor_kidney_ratio,-0.0179514945359733,0.8206304316597122,162,6,True,False,0.9336042569726968,0.8251817366502934,0.8206304316597122,,KIRC
LRP1B,top1_signed,tumor_kidney_ratio,-0.0179486713080838,0.8206581655627961,162,6,True,False,0.9336042569726968,0.8251817366502934,0.8206581655627961,,KIRC
LRP1B,min_dll,tumor_kidney_ratio,-0.0179486713080838,0.8206581655627961,162,6,True,False,0.9336042569726968,0.8251817366502934,0.8206581655627961,,KIRC
